icon,similarity,confidence,primary_address,primary_name,primary_type,secondary_address,secondary_name,secondary_type,bb-,bbs,bb+,jmp-,jmps,jmp+
javax.swing.ImageIcon@3c06d964,1.0,0.6224593312018547,0010364F,rpl_fts_read.cold,Normal,001037D6,vasnprintf.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.6224593312018547,001036BB,xstrtol_fatal.cold,Normal,00103770,decode_preserve_arg.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.8175744761936437,00105A50,di_ent_free,Normal,0010E260,triple_free,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.8175744761936437,00108AB0,AD_hash,Normal,0010AF40,src_to_dest_hash,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.8175744761936437,00108AC0,dev_type_hash,Normal,0010E1B0,triple_hash_no_name,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.8807970779778823,0010D070,ino_hash,Normal,00111420,dev_info_hash,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.8807970779778823,0010D080,ino_compare,Normal,00111430,dev_info_compare,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9525741268224334,00103020,sub_00103020,Normal,00103020,sub_00103020,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103654,hash_find_entry.cold,Normal,00103775,hash_find_entry.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103659,transfer_entries.cold,Normal,0010377A,transfer_entries.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010365E,hash_lookup.cold,Normal,0010377F,hash_lookup.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103669,hash_get_next.cold,Normal,0010378A,hash_get_next.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010366E,hash_rehash.cold,Normal,0010378F,hash_rehash.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010367E,quotearg_buffer_restyled.cold,Normal,00103799,quotearg_buffer_restyled.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103683,quotearg_n_options.cold,Normal,0010379E,quotearg_n_options.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00103688,set_custom_quoting.cold,Normal,001037A3,set_custom_quoting.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010368E,quotearg_n_style.cold,Normal,001037A9,quotearg_n_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103693,quotearg_n_style_mem.cold,Normal,001037AE,quotearg_n_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103698,quotearg_style.cold,Normal,001037B3,quotearg_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010369D,quotearg_style_mem.cold,Normal,001037B8,quotearg_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A2,quotearg_n_style_colon.cold,Normal,001037BD,quotearg_n_style_colon.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A7,quotearg_n_custom.cold,Normal,001037C2,quotearg_n_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036AC,quotearg_n_custom_mem.cold,Normal,001037C7,quotearg_n_custom_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B1,quotearg_custom.cold,Normal,001037CC,quotearg_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B6,quotearg_custom_mem.cold,Normal,001037D1,quotearg_custom_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,001053B0,__argmatch_die,Normal,0010B8B0,__argmatch_die,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105950,close_stdout_set_file_name,Normal,0010C790,close_stdout_set_file_name,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105960,close_stdout_set_ignore_EPIPE,Normal,0010C7A0,close_stdout_set_ignore_EPIPE,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010B060,raw_comparator,Normal,0010D030,raw_comparator,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010B4C0,hash_get_n_buckets,Normal,0010D490,hash_get_n_buckets,Normal,0,1,0,0,0,0
