icon,similarity,confidence,primary_address,primary_name,primary_type,secondary_address,secondary_name,secondary_type,bb-,bbs,bb+,jmp-,jmps,jmp+
javax.swing.ImageIcon@3c06d964,1.0,0.6224593312018547,00105CD0,call_addfn,Normal,001023E0,sigismember,Thunk,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9525741268224334,00103020,sub_00103020,Normal,00102020,sub_00102020,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010367E,quotearg_buffer_restyled.cold,Normal,00102490,quotearg_buffer_restyled.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103683,quotearg_n_options.cold,Normal,00102495,quotearg_n_options.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00103688,set_custom_quoting.cold,Normal,0010249A,set_custom_quoting.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010368E,quotearg_n_style.cold,Normal,001024A0,quotearg_n_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103693,quotearg_n_style_mem.cold,Normal,001024A5,quotearg_n_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103698,quotearg_style.cold,Normal,001024AA,quotearg_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010369D,quotearg_style_mem.cold,Normal,001024AF,quotearg_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A2,quotearg_n_style_colon.cold,Normal,001024B4,quotearg_n_style_colon.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A7,quotearg_n_custom.cold,Normal,001024B9,quotearg_n_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036AC,quotearg_n_custom_mem.cold,Normal,001024BE,quotearg_n_custom_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B1,quotearg_custom.cold,Normal,001024C3,quotearg_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B6,quotearg_custom_mem.cold,Normal,001024C8,quotearg_custom_mem.cold,Thunk,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105950,close_stdout_set_file_name,Normal,00104780,close_stdout_set_file_name,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105960,close_stdout_set_ignore_EPIPE,Normal,00104790,close_stdout_set_ignore_EPIPE,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FDC0,quotearg_alloc,Normal,00106560,quotearg_alloc,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FE70,quotearg_n,Normal,00106610,quotearg_n,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FE90,quotearg_n_mem,Normal,00106630,quotearg_n_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,001106A0,quote_n_mem,Normal,00106E40,quote_n_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,001106D0,quote_n,Normal,00106E70,quote_n,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00113330,setlocale_null,Normal,00108B70,setlocale_null,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00113360,_fini,Normal,00108B90,_fini,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,00111870,xmemdup,Normal,00107A40,xmemdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,001118B0,ximemdup,Normal,00107A80,ximemdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,001118F0,ximemdup0,Normal,00107AC0,ximemdup0,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,00111930,xstrdup,Normal,00107B00,xstrdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9776380308064557,00111A30,xstrtoimax,Normal,00107C80,xstrtoimax,Normal,0,98,0,0,152,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00110120,quotearg_char_mem,Normal,001068C0,quotearg_char_mem,Normal,0,3,0,0,3,0
