icon,similarity,confidence,primary_address,primary_name,primary_type,secondary_address,secondary_name,secondary_type,bb-,bbs,bb+,jmp-,jmps,jmp+
javax.swing.ImageIcon@4644f12b,1.0,0.9910994973918399,0010E530,quotearg_buffer_restyled,Normal,00114840,quotearg_buffer_restyled,Normal,0,361,0,0,592,0
javax.swing.ImageIcon@43a13d49,0.7485524002060913,0.8811010714623594,00106BB0,__strftime_internal.isra.0,Normal,001127E0,__strftime_internal.isra.0,Normal,63,344,41,247,433,208
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,0010C1E0,human_readable,Normal,00110B00,human_readable,Normal,0,183,0,0,283,0
javax.swing.ImageIcon@43a13d49,0.26527678785496595,0.44110309855712265,001036C0,main,Normal,00104720,main,Normal,59,168,153,277,102,451
javax.swing.ImageIcon@4644f12b,1.0,0.9929105230368297,001120F0,xstrtoumax,Normal,00118190,xstrtoumax,Normal,0,68,0,0,112,0
javax.swing.ImageIcon@43a13d49,0.4788155358584112,0.7397066538486622,0010A0C0,rpl_fts_open,Normal,0010CD90,print_dir,Normal,17,44,28,77,23,95
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,00112810,mktime_internal,Normal,001188B0,mktime_internal,Normal,0,41,0,0,67,0
javax.swing.ImageIcon@43a13d49,0.24673248030177927,0.6496832198703003,001064F0,add_exclude,Normal,0010E460,canonicalize_filename_mode,Normal,6,33,86,44,16,181
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,0010BDC0,hash_insert_if_absent,Normal,00110650,hash_insert_if_absent,Normal,0,31,0,0,47,0
javax.swing.ImageIcon@43a13d49,0.04615504007301511,0.19781611144141834,0010AE50,rpl_fts_children,Normal,00108F60,gobble_file.constprop.0,Normal,1,29,149,30,13,285
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,0010CDD0,human_options,Normal,001116F0,human_options,Normal,0,27,0,0,40,0
javax.swing.ImageIcon@43a13d49,0.10740222185629,0.16388110456808871,0010A4E0,rpl_fts_close,Normal,0010C990,print_current_files,Normal,13,26,19,46,18,51
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,0010B350,transfer_entries,Normal,0010FBE0,transfer_entries,Normal,0,23,0,0,35,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,00110880,save_abbr,Normal,00116DA0,save_abbr,Normal,0,22,0,0,33,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,0010C040,hash_remove,Normal,001108D0,hash_remove,Normal,0,22,0,0,34,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,0010B210,compute_bucket_size.isra.0,Normal,0010FAA0,compute_bucket_size.isra.0,Normal,0,22,0,0,33,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,00110D50,version_etc_arn,Normal,00117220,version_etc_arn,Normal,0,21,0,0,30,0
javax.swing.ImageIcon@43a13d49,0.3629558383616815,0.6435737061661269,0010D510,mbscasecmp,Normal,0010BB80,print_file_name_and_frills.isra.0,Normal,27,21,7,61,16,28
javax.swing.ImageIcon@4644f12b,1.0,0.9923368262272705,0010BB40,hash_free,Normal,001103D0,hash_free,Normal,0,21,0,0,34,0
