icon,similarity,confidence,primary_address,primary_name,primary_type,secondary_address,secondary_name,secondary_type,bb-,bbs,bb+,jmp-,jmps,jmp+
javax.swing.ImageIcon@3c06d964,1.0,0.6224593312018547,0010366E,hash_rehash.cold,Normal,0010240A,eval6.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.6224593312018547,001036BB,xstrtol_fatal.cold,Normal,00102405,docolon.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.7310585786300051,00103673,hash_insert_if_absent.cold,Normal,00102400,null.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9525741268224334,00103020,sub_00103020,Normal,00102020,sub_00102020,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010367E,quotearg_buffer_restyled.cold,Normal,00102423,quotearg_buffer_restyled.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103683,quotearg_n_options.cold,Normal,00102428,quotearg_n_options.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00103688,set_custom_quoting.cold,Normal,0010242D,set_custom_quoting.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010368E,quotearg_n_style.cold,Normal,00102433,quotearg_n_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103693,quotearg_n_style_mem.cold,Normal,00102438,quotearg_n_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103698,quotearg_style.cold,Normal,0010243D,quotearg_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010369D,quotearg_style_mem.cold,Normal,00102442,quotearg_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A2,quotearg_n_style_colon.cold,Normal,00102447,quotearg_n_style_colon.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A7,quotearg_n_custom.cold,Normal,0010244C,quotearg_n_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036AC,quotearg_n_custom_mem.cold,Normal,00102451,quotearg_n_custom_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B1,quotearg_custom.cold,Normal,00102456,quotearg_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B6,quotearg_custom_mem.cold,Normal,0010245B,quotearg_custom_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105950,close_stdout_set_file_name,Normal,001047C0,close_stdout_set_file_name,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105960,close_stdout_set_ignore_EPIPE,Normal,001047D0,close_stdout_set_ignore_EPIPE,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FDC0,quotearg_alloc,Normal,00106B60,quotearg_alloc,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FE70,quotearg_n,Normal,00106C10,quotearg_n,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FE90,quotearg_n_mem,Normal,00106C30,quotearg_n_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,001106A0,quote_n_mem,Normal,00107440,quote_n_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,001106D0,quote_n,Normal,00107470,quote_n,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00113330,setlocale_null,Normal,00108980,setlocale_null,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00113360,_fini,Normal,001089A0,_fini,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,00111870,xmemdup,Normal,00108530,xmemdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,001118B0,ximemdup,Normal,00108570,ximemdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,001118F0,ximemdup0,Normal,001085B0,ximemdup0,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,00111930,xstrdup,Normal,001085F0,xstrdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00110120,quotearg_char_mem,Normal,00106EC0,quotearg_char_mem,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001101C0,quotearg_char,Normal,00106F60,quotearg_char,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00110260,quotearg_colon,Normal,00107000,quotearg_colon,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001102F0,quotearg_colon_mem,Normal,00107090,quotearg_colon_mem,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111440,xmalloc,Normal,00108100,xmalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111460,ximalloc,Normal,00108120,ximalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111480,xcharalloc,Normal,00108140,xcharalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001114D0,xirealloc,Normal,00108190,xirealloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111580,xnmalloc,Normal,00108240,xnmalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001117F0,xzalloc,Normal,001084B0,xzalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111810,xizalloc,Normal,001084D0,xizalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111830,xcalloc,Normal,001084F0,xcalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111850,xicalloc,Normal,00108510,xicalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,00104C00,_start,Normal,00102630,_start,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010D2F0,is_basic,Normal,00104BA0,is_basic,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FB40,clone_quoting_options,Normal,001068E0,clone_quoting_options,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FB80,get_quoting_style,Normal,00106920,get_quoting_style,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FBA0,set_quoting_style,Normal,00106940,set_quoting_style,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FBC0,set_char_quoting,Normal,00106960,set_char_quoting,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FC00,set_quoting_flags,Normal,001069A0,set_quoting_flags,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FC50,quotearg_buffer,Normal,001069F0,quotearg_buffer,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FEA0,quotearg,Normal,00106C40,quotearg,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FEC0,quotearg_mem,Normal,00106C60,quotearg_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,001106B0,quote_mem,Normal,00107450,quote_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,001106F0,quote,Normal,00107490,quote,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,00110710,strnlen1,Normal,001074B0,strnlen1,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,00111360,emit_bug_reporting_address,Normal,00108020,emit_bug_reporting_address,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9910994973918399,0010E530,quotearg_buffer_restyled,Normal,001052D0,quotearg_buffer_restyled,Normal,0,361,0,0,592,0
javax.swing.ImageIcon@4644f12b,1.0,0.991422514586288,0010FC20,set_custom_quoting,Normal,001069C0,set_custom_quoting,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9918374288468401,00104C60,sub_00104C60,Normal,00102690,sub_00102690,Normal,0,4,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9927297418703065,0010E3A0,set_program_name,Normal,00105140,set_program_name,Normal,0,11,0,0,17,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,00103000,_init,Normal,00102000,_init,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,00104C30,sub_00104C30,Normal,00102660,sub_00102660,Normal,0,4,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,00104CA0,_FINI_0,Normal,001026D0,_FINI_0,Normal,0,5,0,0,6,0
javax.swing.ImageIcon@4644f12b,1.0,0.9933071490757153,00106AE0,rpl_fclose,Normal,001086D0,rpl_fclose,Normal,0,9,0,0,13,0
