icon,similarity,confidence,primary_address,primary_name,primary_type,secondary_address,secondary_name,secondary_type,bb-,bbs,bb+,jmp-,jmps,jmp+
javax.swing.ImageIcon@3c06d964,1.0,0.6224593312018547,00105CD0,call_addfn,Normal,00103780,acl_free,Thunk,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.8175744761936437,00105A40,di_ino_hash,Normal,001102E0,triple_hash_no_name,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.8175744761936437,00105A50,di_ent_free,Normal,00110390,triple_free,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.8807970779778823,00105A20,di_ent_hash,Normal,0010AE20,src_to_dest_hash,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.8807970779778823,0010D070,ino_hash,Normal,00113670,dev_info_hash,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.8807970779778823,0010D080,ino_compare,Normal,00113680,dev_info_compare,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9525741268224334,00103020,sub_00103020,Normal,00103020,sub_00103020,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9525741268224334,001036BB,xstrtol_fatal.cold,Normal,0010381B,vasnprintf.cold,Thunk,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103640,filesystem_type.cold,Normal,001037A0,filesystem_type.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103645,cwd_advance_fd.cold,Normal,001037A5,cwd_advance_fd.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010364A,leave_dir.cold,Normal,001037AA,leave_dir.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103654,hash_find_entry.cold,Normal,001037B4,hash_find_entry.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103659,transfer_entries.cold,Normal,001037B9,transfer_entries.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010365E,hash_lookup.cold,Normal,001037BE,hash_lookup.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103669,hash_get_next.cold,Normal,001037C9,hash_get_next.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010366E,hash_rehash.cold,Normal,001037CE,hash_rehash.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00103678,i_ring_pop.cold,Normal,001037D8,i_ring_pop.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010367E,quotearg_buffer_restyled.cold,Normal,001037DE,quotearg_buffer_restyled.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103683,quotearg_n_options.cold,Normal,001037E3,quotearg_n_options.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00103688,set_custom_quoting.cold,Normal,001037E8,set_custom_quoting.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010368E,quotearg_n_style.cold,Normal,001037EE,quotearg_n_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103693,quotearg_n_style_mem.cold,Normal,001037F3,quotearg_n_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,00103698,quotearg_style.cold,Normal,001037F8,quotearg_style.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,0010369D,quotearg_style_mem.cold,Normal,001037FD,quotearg_style_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A2,quotearg_n_style_colon.cold,Normal,00103802,quotearg_n_style_colon.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036A7,quotearg_n_custom.cold,Normal,00103807,quotearg_n_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036AC,quotearg_n_custom_mem.cold,Normal,0010380C,quotearg_n_custom_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B1,quotearg_custom.cold,Normal,00103811,quotearg_custom.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9706877692486436,001036B6,quotearg_custom_mem.cold,Normal,00103816,quotearg_custom_mem.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,001053B0,__argmatch_die,Normal,00115540,__argmatch_die,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105950,close_stdout_set_file_name,Normal,0010C210,close_stdout_set_file_name,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00105960,close_stdout_set_ignore_EPIPE,Normal,0010C220,close_stdout_set_ignore_EPIPE,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010B060,raw_comparator,Normal,0010F160,raw_comparator,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010B4C0,hash_get_n_buckets,Normal,0010F5C0,hash_get_n_buckets,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010B4D0,hash_get_n_buckets_used,Normal,0010F5D0,hash_get_n_buckets_used,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010B4E0,hash_get_n_entries,Normal,0010F5E0,hash_get_n_entries,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FDC0,quotearg_alloc,Normal,00112040,quotearg_alloc,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FE70,quotearg_n,Normal,001120F0,quotearg_n,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,0010FE90,quotearg_n_mem,Normal,00112110,quotearg_n_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,001106A0,quote_n_mem,Normal,00112920,quote_n_mem,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00113330,setlocale_null,Normal,00117140,setlocale_null,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9706877692486436,00113360,_fini,Normal,00118120,_fini,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,00111870,xmemdup,Normal,00114B90,xmemdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,001118B0,ximemdup,Normal,00114BD0,ximemdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,001118F0,ximemdup0,Normal,00114C10,ximemdup0,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@4644f12b,1.0,0.9770226300899744,00111930,xstrdup,Normal,00114C50,xstrdup,Normal,0,3,0,0,4,0
javax.swing.ImageIcon@3c06d964,1.0,0.9820137900379085,0010364F,rpl_fts_read.cold,Normal,001037AF,rpl_fts_read.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9820137900379085,00103663,hash_get_first.cold,Normal,001037C3,hash_get_first.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@3c06d964,1.0,0.9820137900379085,00103673,hash_insert_if_absent.cold,Normal,001037D3,hash_insert_if_absent.cold,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9820137900379085,0010CFE0,i_ring_empty,Normal,001103D0,i_ring_empty,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9820137900379085,001106D0,quote_n,Normal,00112950,quote_n,Normal,0,1,0,0,1,0
javax.swing.ImageIcon@4644f12b,1.0,0.9820137900379085,00112E40,cycle_check_init,Normal,00115A00,cycle_check_init,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00110120,quotearg_char_mem,Normal,001123A0,quotearg_char_mem,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001101C0,quotearg_char,Normal,00112440,quotearg_char,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00110260,quotearg_colon,Normal,001124E0,quotearg_colon,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001102F0,quotearg_colon_mem,Normal,00112570,quotearg_colon_mem,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111440,xmalloc,Normal,00114760,xmalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111460,ximalloc,Normal,00114780,ximalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111480,xcharalloc,Normal,001147A0,xcharalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001114D0,xirealloc,Normal,001147F0,xirealloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111580,xnmalloc,Normal,001148A0,xnmalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,001117F0,xzalloc,Normal,00114B10,xzalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111810,xizalloc,Normal,00114B30,xizalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111830,xcalloc,Normal,00114B50,xcalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9859363729567544,00111850,xicalloc,Normal,00114B70,xicalloc,Normal,0,3,0,0,3,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,00104C00,_start,Normal,00103EE0,_start,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FB40,clone_quoting_options,Normal,00111DC0,clone_quoting_options,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FB80,get_quoting_style,Normal,00111E00,get_quoting_style,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FBA0,set_quoting_style,Normal,00111E20,set_quoting_style,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FBC0,set_char_quoting,Normal,00111E40,set_char_quoting,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FC00,set_quoting_flags,Normal,00111E80,set_quoting_flags,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FC50,quotearg_buffer,Normal,00111ED0,quotearg_buffer,Normal,0,1,0,0,0,0
javax.swing.ImageIcon@4644f12b,1.0,0.9890130573694068,0010FEA0,quotearg,Normal,00112120,quotearg,Normal,0,1,0,0,1,0
