arch,bin,func,depth
amd64,whoami,dbg.parse_long_options,0
amd64,whoami,dbg.xnrealloc,0
amd64,whoami,dbg.hard_locale,3
amd64,whoami,dbg.close_stream,0
amd64,whoami,entry.fini0,4
amd64,whoami,sym._init,2
amd64,whoami,dbg.rpl_fseeko,4
amd64,whoami,sym.xmemdup,2
amd64,whoami,sym.xreallocarray,0
amd64,whoami,sym.quotearg_n_style_mem,2
amd64,whoami,dbg.close_stdout,0
amd64,whoami,dbg.version_etc,0
amd64,whoami,sym.quotearg_custom_mem,2
amd64,whoami,dbg.quotearg_colon_mem,2
amd64,whoami,dbg.quotearg_colon,2
amd64,whoami,sym.xicalloc,2
amd64,whoami,sym.quotearg_n_style_colon,2
amd64,whoami,entry.init0,2
amd64,whoami,dbg.rpl_fflush,2
amd64,whoami,sym.quotearg_style_mem,2
amd64,whoami,sym.quotearg_n_custom_mem,2
amd64,whoami,sym.quotearg_n_style,2
amd64,whoami,dbg.xirealloc,2
amd64,whoami,sym.quotearg_style,2
amd64,whoami,dbg.x2realloc,0
amd64,whoami,dbg.usage,0
amd64,whoami,sym.quotearg_char_mem,2
amd64,whoami,sym.xrealloc,0
amd64,whoami,sym.xcalloc,2
amd64,whoami,dbg.parse_gnu_standard_options_only,0
amd64,whoami,sym.quotearg_n_options,4
amd64,whoami,dbg.xpalloc,0
amd64,whoami,dbg.rpl_mbrtowc,2
amd64,whoami,dbg.xinmalloc,2
amd64,dirname,dbg.rpl_fclose,0
amd64,whoami,fcn.000024c0,2
amd64,whoami,dbg.quotearg_alloc_mem,2
amd64,whoami,dbg.xcharalloc,2
amd64,dirname,sym.xcalloc,2
amd64,whoami,dbg.xizalloc,2
amd64,whoami,dbg.setlocale_null_r,0
amd64,dirname,dbg.quotearg_colon,2
amd64,whoami,dbg.xstrdup,2
amd64,dirname,dbg.set_program_name,5
amd64,dirname,sym.quotearg_n_style_colon,2
amd64,dirname,dbg.xpalloc,0
amd64,dirname,fcn.00002530,2
amd64,whoami,sym.gettext_quote.part.0,0
amd64,dirname,dbg.close_stdout,0
amd64,whoami,sym.ximalloc,2
amd64,dirname,dbg.quotearg_alloc_mem,2
amd64,whoami,dbg.quotearg_free,4
amd64,dirname,dbg.xcharalloc,2
amd64,dirname,dbg.xizalloc,2
amd64,dirname,sym.xrealloc,0
amd64,dirname,sym._init,2
amd64,whoami,sym.quotearg_buffer_restyled,0
amd64,dirname,dbg.xstrdup,2
amd64,whoami,dbg.xzalloc,2
amd64,dirname,dbg.mdir_name,4
amd64,whoami,sym.set_custom_quoting,1
amd64,dirname,sym.quotearg_n_options,4
amd64,whoami,dbg.xnmalloc,2
amd64,dirname,dbg.rpl_fseeko,4
amd64,whoami,dbg.version_etc_arn,0
amd64,whoami,dbg.locale_charset,2
amd64,dirname,dbg.xinmalloc,2
amd64,whoami,sym.quotearg_custom,2
amd64,dirname,dbg.hard_locale,3
amd64,dirname,dbg.close_stream,0
amd64,dirname,sym.ximalloc,2
amd64,whoami,sym.xmalloc,2
amd64,dirname,dbg.quotearg_free,4
amd64,whoami,dbg.ximemdup0,2
amd64,dirname,dbg.xzalloc,2
amd64,dirname,dbg.xnmalloc,2
amd64,dirname,sym.set_custom_quoting,1
amd64,whoami,sym.quotearg_n_custom,2
amd64,dirname,dbg.version_etc_arn,0
amd64,whoami,dbg.rpl_fclose,0
amd64,whoami,dbg.version_etc_ar,4
amd64,nohup,dbg.xnrealloc,0
amd64,whoami,sym.version_etc_va,0
amd64,nohup,sym.xcalloc,2
amd64,dirname,sym.xmalloc,2
amd64,whoami,sym.x2nrealloc,0
amd64,nohup,sym.set_custom_quoting,1
amd64,whoami,dbg.main,0
amd64,dirname,dbg.ximemdup0,2
amd64,nohup,dbg.rpl_mbrtowc,2
amd64,whoami,sym.quotearg_char,2
amd64,whoami,dbg.ximemdup,2
amd64,dirname,dbg.base_len,3
amd64,dirname,sym.quotearg_n_custom,2
amd64,nohup,dbg.rpl_fcntl,0
amd64,whoami,sym.xireallocarray,2
amd64,nohup,entry.init0,2
amd64,dirname,sym.version_etc_va,0
amd64,whoami,dbg.set_program_name,5
amd64,dirname,sym.quotearg_custom,2
amd64,dirname,sym.x2nrealloc,0
amd64,dirname,entry.fini0,4
amd64,nohup,dbg.usage,0
amd64,dirname,dbg.rpl_fflush,2
amd64,dirname,sym.quotearg_char,2
amd64,uniq,dbg.xnrealloc,0
amd64,dirname,sym.xireallocarray,2
amd64,nohup,dbg.quotearg_alloc_mem,2
amd64,uniq,dbg.locale_charset,2
amd64,uniq,dbg.readlinebuffer_delim,0
amd64,uniq,sym.set_custom_quoting,1
amd64,dirname,dbg.version_etc_ar,4
amd64,nohup,sym._init,2
amd64,nohup,dbg.xstrdup,2
amd64,uniq,dbg.set_program_name,5
amd64,dirname,dbg.xnrealloc,0
amd64,nohup,dbg.parse_gnu_standard_options_only,0
amd64,id,sym.xmemdup,2
amd64,uniq,dbg.setlocale_null_r,0
amd64,nohup,sym.quotearg_n_options,4
amd64,dirname,dbg.rpl_mbrtowc,2
amd64,nohup,dbg.base_len,3
amd64,uniq,dbg.posix2_version,3
amd64,dirname,dbg.ximemdup,2
amd64,uniq,dbg.fadvise,2
amd64,nohup,sym.quotearg_n_custom,2
amd64,id,dbg.quotearg_alloc_mem,2
amd64,uniq,dbg.argmatch_valid,4
amd64,nohup,dbg.xpalloc,0
amd64,uniq,sym.size_opt,2
amd64,id,dbg.x2realloc,0
amd64,nohup,dbg.rpl_fseeko,4
amd64,dirname,dbg.setlocale_null_r,0
amd64,uniq,dbg.rpl_fseeko,4
amd64,nohup,fcn.000029c0,2
amd64,dirname,entry.init0,2
amd64,nohup,sym.quotearg_custom,2
amd64,id,dbg.xstrtoul,0
amd64,nohup,dbg.quotearg_colon_mem,2
amd64,uniq,sym._init,2
amd64,nohup,dbg.xinmalloc,2
amd64,dirname,sym.quotearg_buffer_restyled,0
amd64,uniq,sym.xreallocarray,0
amd64,dirname,sym.xmemdup,2
amd64,dirname,sym.xreallocarray,0
amd64,id,sym.parse_user_spec_warn,0
amd64,uniq,sym.xcalloc,2
amd64,id,dbg.xizalloc,2
amd64,nohup,dbg.hard_locale,3
amd64,id,dbg.xnmalloc,2
amd64,id,sym._init,2
amd64,nohup,dbg.quotearg_free,4
amd64,nohup,sym.quotearg_char,2
amd64,dirname,dbg.last_component,6
amd64,id,sym.quotearg_custom_mem,2
amd64,nohup,dbg.xzalloc,2
amd64,uniq,dbg.version_etc,0
amd64,id,dbg.mgetgroups,0
amd64,nohup,dbg.locale_charset,2
amd64,uniq,dbg.close_stdout,0
amd64,dirname,dbg.usage,0
amd64,realpath,sym.gettext_quote.part.0,0
amd64,nohup,dbg.fd_reopen,2
amd64,id,dbg.close_stream,0
amd64,realpath,dbg.record_file,4
amd64,dirname,dbg.version_etc,0
amd64,uniq,sym.x2nrealloc,0
amd64,nohup,sym.quotearg_n_style_mem,2
amd64,realpath,dbg.ximemdup,2
amd64,dirname,dbg.main,6
amd64,nohup,sym.quotearg_style_mem,2
amd64,id,dbg.print_group_list,9
amd64,dirname,sym.quotearg_custom_mem,2
amd64,id,dbg.rpl_fflush,2
amd64,dirname,dbg.quotearg_colon_mem,2
amd64,id,dbg.quotearg_free,4
amd64,nohup,dbg.main,0
amd64,uniq,dbg.freopen_safer,0
amd64,dirname,sym.gettext_quote.part.0,0
amd64,nohup,dbg.file_name_concat,2
amd64,dirname,sym.xicalloc,2
amd64,nohup,dbg.version_etc,0
amd64,nohup,dbg.close_stdout,0
amd64,dirname,dbg.locale_charset,2
amd64,realpath,dbg.canonicalize_filename_mode,0
amd64,id,dbg.parse_with_separator,0
amd64,nohup,dbg.close_stream,0
amd64,dirname,sym.dir_len,3
amd64,id,sym.xmalloc,2
amd64,dirname,sym.quotearg_n_style_mem,2
amd64,realpath,dbg.rpl_fclose,0
amd64,nohup,dbg.rpl_fclose,0
amd64,dirname,sym.quotearg_style_mem,2
amd64,id,sym.xcalloc,2
amd64,nohup,dbg.xcharalloc,2
amd64,realpath,dbg.hash_clear,7
amd64,id,sym.quotearg_n_custom_mem,2
amd64,dirname,sym.quotearg_n_custom_mem,2
amd64,realpath,sym.quotearg_n_options,4
amd64,id,sym.quotearg_n_style,2
amd64,dirname,sym.quotearg_n_style,2
amd64,nohup,dbg.ximemdup0,2
